simulation,dem_seats,dem_control,national_error
7471,51.0,1,-1.5416178548574635
7472,44.0,0,-11.209060203580844
7473,50.0,0,-1.3327766586016516
7474,52.0,1,1.2938424864999105
7475,51.0,1,0.7046003368992478
7476,48.0,0,-6.974679067676419
7477,54.0,1,6.044882376207333
7478,57.0,1,11.487936339461944
7479,49.0,0,-1.1488834985109087
7480,53.0,1,3.75560501363838
7481,50.0,0,-3.7892733792626085
7482,54.0,1,6.71866805382631
7483,50.0,0,-2.501707977785147
7484,50.0,0,-2.1092284458784114
7485,51.0,1,-0.02586011755845118
7486,55.0,1,5.530852546117064
7487,49.0,0,-3.6857992714175345
7488,48.0,0,-4.683220472054346
7489,51.0,1,-0.8006067998899444
7490,51.0,1,2.0103658178378803
7491,49.0,0,-5.06075886006694
7492,48.0,0,-7.538809833774004
7493,51.0,1,0.7819105157979246
7494,52.0,1,0.09601350162389272
7495,53.0,1,3.1014313731676313
7496,52.0,1,2.2962294171487594
7497,53.0,1,5.426858822536664
7498,49.0,0,-3.973270894418802
7499,54.0,1,6.360666968409866
7500,50.0,0,-1.3480425006689587
7501,51.0,1,2.198005509895296
7502,51.0,1,-0.14876940270157715
7503,54.0,1,2.0564323818463204
7504,49.0,0,-1.562649381504351
7505,49.0,0,-3.873631662120425
7506,54.0,1,3.5785080060009915
7507,49.0,0,-5.163698468454469
7508,55.0,1,5.876052964716848
7509,50.0,0,0.4636293170418011
7510,54.0,1,2.9089611322545563
7511,48.0,0,-4.567703138213454
7512,50.0,0,-2.3810218741702527
7513,51.0,1,0.8167761411982839
7514,49.0,0,-1.1916199330020378
7515,53.0,1,3.4739572771209075
7516,50.0,0,-4.417281123588034
7517,50.0,0,-0.9290222977050329
7518,53.0,1,5.0897051399999285
7519,50.0,0,-1.3087239922501737
7520,49.0,0,-2.116495097781799
7521,50.0,0,-1.9346732013465666
7522,54.0,1,3.6226583227312066
7523,49.0,0,-1.8623758859058088
7524,49.0,0,-4.687493371868287
7525,51.0,1,1.5419042004893788
7526,50.0,0,1.291285399069902
7527,51.0,1,-0.9526415424821016
7528,54.0,1,3.866612033613686
7529,49.0,0,-2.3118285981378164
7530,53.0,1,5.489744985965397
7531,50.0,0,1.0771406392207648
7532,53.0,1,3.221758297747266
7533,50.0,0,-2.4663566976092595
7534,49.0,0,-2.1423059680082184
7535,50.0,0,-2.315095212076507
7536,51.0,1,0.11350624496636966
7537,54.0,1,5.731280166747006
7538,53.0,1,4.7464509310108145
7539,49.0,0,-1.935837913915659
7540,49.0,0,-2.018591700114533
7541,55.0,1,9.761852267933099
7542,54.0,1,4.811576344843261
7543,50.0,0,-0.48532486424796695
7544,52.0,1,1.7512505253609811
7545,54.0,1,6.937170997447745
7546,51.0,1,-2.2394808281711702
7547,51.0,1,-0.15992110508395685
7548,53.0,1,2.5567894282292283
7549,49.0,0,-3.1309407982620523
7550,54.0,1,5.564274158847987
7551,53.0,1,3.1262810145881974
7552,53.0,1,3.80392949466938
7553,55.0,1,6.992433265092923
7554,53.0,1,2.5278491479231655
7555,52.0,1,2.0596413996725063
7556,49.0,0,-0.6983283442108141
7557,51.0,1,0.050334098107061645
7558,54.0,1,4.034050227647559
7559,49.0,0,-5.769116012091035
7560,54.0,1,7.831734996796364
7561,53.0,1,4.429636197220608
7562,50.0,0,-3.106383804355801
7563,55.0,1,7.651984020784071
7564,49.0,0,-3.519104413278397
7565,54.0,1,4.769515809771141
7566,54.0,1,3.3161124316390618
7567,52.0,1,1.5837698777043838
7568,49.0,0,-6.357794039474235
7569,55.0,1,8.690701053784432
7570,49.0,0,-7.93138043232626
7571,49.0,0,-3.479993058948506
7572,49.0,0,-1.0932402105157413
7573,53.0,1,2.674096622528602
7574,50.0,0,-0.009372259112564117
7575,53.0,1,5.957387929347023
7576,44.0,0,-11.073811753908474
7577,50.0,0,0.5531516904680042
7578,48.0,0,-3.7396888215494255
7579,48.0,0,-7.2637267351082375
7580,52.0,1,1.0552857850770698
7581,56.0,1,9.991033107164146
7582,50.0,0,-2.4347718532166294
7583,48.0,0,-7.9255258696908175
7584,49.0,0,-4.362771403470704
7585,50.0,0,0.13570933015252706
7586,55.0,1,9.678191638302506
7587,50.0,0,-0.4156423816449491
7588,50.0,0,-1.8282463657693289
7589,50.0,0,0.5305588051917833
7590,49.0,0,-3.9361171661276644
7591,52.0,1,4.118407639885869
7592,53.0,1,3.870949420968522
7593,54.0,1,7.024528127824433
7594,51.0,1,-0.24474897370256649
7595,55.0,1,4.646259899505361
7596,48.0,0,-4.650762299373607
7597,54.0,1,3.5895287432355705
7598,55.0,1,8.37931476090237
7599,53.0,1,2.618477461925106
7600,53.0,1,4.056554318398281
7601,50.0,0,-1.6763004346480994
7602,48.0,0,-3.6545402013937562
7603,50.0,0,-2.105934500515903
7604,50.0,0,-2.281561487297447
7605,51.0,1,0.729490480401388
7606,52.0,1,0.13532886452713133
7607,52.0,1,1.5460405163370978
7608,55.0,1,11.304455178879074
7609,55.0,1,6.14433336834797
7610,56.0,1,9.558692668934487
7611,50.0,0,1.792993643800049
7612,49.0,0,-3.242304606450331
7613,49.0,0,-2.425716141410103
7614,54.0,1,5.164557181595598
7615,54.0,1,2.3790817779813924
7616,54.0,1,6.7391634401363705
7617,49.0,0,-5.8473137826515105
7618,50.0,0,-2.5188523906098896
7619,45.0,0,-7.190415703293033
7620,47.0,0,-3.4534546673898374
7621,45.0,0,-8.530608592684782
7622,52.0,1,-0.34270502304511397
7623,51.0,1,-0.7673187493854375
7624,49.0,0,-5.4694773362685645
7625,50.0,0,-0.22009033306247644
7626,53.0,1,2.002779187221348
7627,49.0,0,-6.253904668646815
7628,51.0,1,-0.2974755973287127
7629,49.0,0,-2.4883514530480637
7630,48.0,0,-3.8582857366894645
7631,49.0,0,-2.4062035068684327
7632,52.0,1,0.1169275795351473
7633,52.0,1,2.337309448191925
7634,47.0,0,-6.081397631359306
7635,52.0,1,0.5029169459701579
7636,52.0,1,0.8004731116228284
7637,49.0,0,-0.5907447953103584
7638,53.0,1,2.911413085438257
7639,52.0,1,1.1139051839994423
7640,46.0,0,-10.968633607711581
7641,56.0,1,10.055696133361147
7642,56.0,1,10.271283873541503
7643,50.0,0,-0.5732392544068513
7644,47.0,0,-8.002604895602465
7645,48.0,0,-4.822960062416069
7646,51.0,1,1.5255434221963668
7647,50.0,0,-1.6314954990777177
7648,50.0,0,-0.8928404315167676
7649,54.0,1,4.2309671043490855
7650,48.0,0,-2.459012802208156
7651,50.0,0,0.011390916842633955
7652,50.0,0,-2.2125796535818707
7653,45.0,0,-10.510406510380744
7654,49.0,0,-8.032748448222364
7655,52.0,1,1.5955921243277382
7656,49.0,0,-2.217230190439439
7657,53.0,1,4.940892072603092
7658,47.0,0,-9.656386291495233
7659,46.0,0,-6.372195884466813
7660,56.0,1,8.308470221664278
7661,51.0,1,2.1772298241297596
7662,49.0,0,-0.9524189625362842
7663,52.0,1,3.460147903043452
7664,49.0,0,-3.4957338469655967
7665,53.0,1,1.4039025160289567
7666,44.0,0,-10.807516696833035
7667,52.0,1,0.5103801778031041
7668,48.0,0,-2.369053777079524
7669,49.0,0,-2.3333938108410632
7670,49.0,0,-3.3382585234697824
7671,50.0,0,-1.8747665539013
7672,46.0,0,-7.368225780776651
7673,54.0,1,6.420784818398716
7674,53.0,1,3.319479475740781
7675,45.0,0,-6.446435787062204
7676,49.0,0,-1.4460724792472868
7677,53.0,1,2.391981336771691
7678,51.0,1,0.8404573276720309
7679,53.0,1,1.1430500254904006
7680,51.0,1,-0.04578292439975559
7681,48.0,0,-4.670769827867147
7682,50.0,0,-3.3900085880731567
7683,54.0,1,5.989219841723662
7684,51.0,1,2.2897404347661348
7685,45.0,0,-9.318732907155821
7686,49.0,0,-5.712415007717181
7687,51.0,1,-1.011627628209497
7688,51.0,1,0.6689926324712007
7689,50.0,0,-1.2050747070389773
7690,48.0,0,-5.150256556178498
7691,51.0,1,-1.0806640524092754
7692,47.0,0,-7.016564328891207
7693,52.0,1,2.559843055145109
