global_sd,races,brier,log_loss,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,rank_brier,rank_log_loss,rank_expected_calibration_error,rank_mean_absolute_coverage_error,average_rank,pareto_optimal,recommended
15.0,234,0.0820955260442826,0.2874605707430813,0.07586872379847662,0.10001010849082059,0.3648693071755451,0.7564102564102564,0.2564102564102564,0.2564102564102564,0.9230769230769231,0.12307692307692308,0.12307692307692308,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.13176638176638178,0.2564102564102564,41.0,29.0,41.0,36.0,36.75,False,False
15.25,234,0.08257382441038995,0.2891251992458264,0.07835518873582281,0.10285374303789371,0.3669841747264648,0.7606837606837606,0.26068376068376065,0.26068376068376065,0.9273504273504274,0.12735042735042734,0.12735042735042734,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.1346153846153846,0.26068376068376065,42.0,31.0,42.0,37.0,38.0,False,False
15.5,234,0.08305974815083966,0.2908229496615309,0.08082256572200228,0.10587275929296316,0.3690354061569424,0.7777777777777778,0.2777777777777778,0.2777777777777778,0.9273504273504274,0.12735042735042734,0.12735042735042734,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.14031339031339032,0.2777777777777778,43.0,32.0,43.0,38.0,39.0,False,False
15.75,234,0.08355285346022694,0.2925504602903779,0.08327050867632435,0.1089508908877089,0.37102575895908146,0.7777777777777778,0.2777777777777778,0.2777777777777778,0.9273504273504274,0.12735042735042734,0.12735042735042734,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.14031339031339032,0.2777777777777778,44.0,33.0,44.0,38.0,39.75,False,False
16.0,234,0.08405271359922384,0.29430461666065927,0.08559285980333137,0.10848336402955082,0.36591674662940876,0.782051282051282,0.28205128205128205,0.28205128205128205,0.9273504273504274,0.12735042735042734,0.12735042735042734,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.14173789173789175,0.28205128205128205,45.0,35.0,45.0,41.0,41.5,False,False
16.25,234,0.08455891852259824,0.2960825312834022,0.08806777721995546,0.11101291372477501,0.35473210796481325,0.7905982905982906,0.29059829059829057,0.29059829059829057,0.9358974358974359,0.13589743589743586,0.13589743589743586,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.14743589743589744,0.29059829059829057,46.0,36.0,46.0,42.0,42.5,False,False
16.5,234,0.0850710744604587,0.29788152539797236,0.09052041919261233,0.11362038392955044,0.35681456878485596,0.7991452991452992,0.2991452991452992,0.2991452991452992,0.9358974358974359,0.13589743589743586,0.13589743589743586,0.9700854700854701,0.020085470085470125,0.020085470085470125,0.15170940170940173,0.2991452991452992,47.0,37.0,47.0,43.0,43.5,False,False
16.75,234,0.0855888034632854,0.2996991124778029,0.09295064996765352,0.11355335531708141,0.33917146893457184,0.7991452991452992,0.2991452991452992,0.2991452991452992,0.9358974358974359,0.13589743589743586,0.13589743589743586,0.9700854700854701,0.020085470085470125,0.020085470085470125,0.15170940170940173,0.2991452991452992,48.0,39.0,48.0,43.0,44.5,False,False
17.0,234,0.08611174292011194,0.30153298329541606,0.0953583555715759,0.11677644760758056,0.3302104199261005,0.7991452991452992,0.2991452991452992,0.2991452991452992,0.9401709401709402,0.14017094017094012,0.14017094017094012,0.9700854700854701,0.020085470085470125,0.020085470085470125,0.15313390313390315,0.2991452991452992,49.0,40.0,49.0,45.0,45.75,False,False
17.25,234,0.086639545058064,0.30338099237171967,0.09774344281324418,0.11612958272623797,0.21434082142521083,0.8034188034188035,0.30341880341880345,0.30341880341880345,0.9401709401709402,0.14017094017094012,0.14017094017094012,0.9700854700854701,0.020085470085470125,0.020085470085470125,0.15455840455840456,0.30341880341880345,50.0,41.0,50.0,46.0,46.75,False,False
