global_sd,races,brier,log_loss,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,cycle
5.25,34,0.032181298350536375,0.10522218715595863,0.04772791478959287,0.09955402466298902,0.32617530881598467,0.4411764705882353,-0.05882352941176472,0.05882352941176472,0.7058823529411765,-0.09411764705882353,0.09411764705882353,0.8235294117647058,-0.1264705882352941,0.1264705882352941,0.09313725490196079,0.1264705882352941,2024
5.5,32,0.12348311321068592,0.4939225912664464,0.1582575824141889,0.2173953684555853,0.6765111456885302,0.25,-0.25,0.25,0.4375,-0.36250000000000004,0.36250000000000004,0.6875,-0.26249999999999996,0.26249999999999996,0.2916666666666667,0.36250000000000004,2012
5.5,35,0.06788609042846915,0.2606763601312042,0.05106144377018733,0.09246020270390652,0.30187839415677675,0.3142857142857143,-0.18571428571428572,0.18571428571428572,0.5714285714285714,-0.22857142857142865,0.22857142857142865,0.7714285714285715,-0.1785714285714285,0.1785714285714285,0.1976190476190476,0.22857142857142865,2014
5.5,33,0.10534784451804426,0.30266371222623306,0.13018551518782645,0.20950647323155766,0.7417493362038226,0.18181818181818182,-0.3181818181818182,0.3181818181818182,0.45454545454545453,-0.3454545454545455,0.3454545454545455,0.6666666666666666,-0.2833333333333333,0.2833333333333333,0.3156565656565657,0.3454545454545455,2016
5.5,33,0.10167291016344364,1.1144932061854254,0.104683612716209,0.13476967627340403,0.3058695529098572,0.30303030303030304,-0.19696969696969696,0.19696969696969696,0.5454545454545454,-0.25454545454545463,0.25454545454545463,0.7878787878787878,-0.1621212121212121,0.1621212121212121,0.20454545454545459,0.25454545454545463,2018
5.5,33,0.05905105212830322,0.19693229192579065,0.07147399575667682,0.1300630187403506,0.5576556751736873,0.45454545454545453,-0.04545454545454547,0.04545454545454547,0.8181818181818182,0.018181818181818188,0.018181818181818188,0.9090909090909091,-0.040909090909090895,0.040909090909090895,0.03484848484848485,0.04545454545454547,2020
5.5,34,0.04165994356164202,0.1275715538039758,0.06817496271197117,0.14284013635160409,0.4473861027594245,0.4411764705882353,-0.05882352941176472,0.05882352941176472,0.7058823529411765,-0.09411764705882353,0.09411764705882353,0.8235294117647058,-0.1264705882352941,0.1264705882352941,0.09313725490196079,0.1264705882352941,2022
5.5,34,0.03274457823945626,0.10754015624398863,0.049890014332134136,0.10331942927944138,0.3335807327291309,0.47058823529411764,-0.02941176470588236,0.02941176470588236,0.7058823529411765,-0.09411764705882353,0.09411764705882353,0.8235294117647058,-0.1264705882352941,0.1264705882352941,0.08333333333333333,0.1264705882352941,2024
5.75,32,0.12284881151335267,0.4738708189035729,0.15747685417242627,0.21670668860967715,0.6693261826583593,0.25,-0.25,0.25,0.4375,-0.36250000000000004,0.36250000000000004,0.6875,-0.26249999999999996,0.26249999999999996,0.2916666666666667,0.36250000000000004,2012
5.75,35,0.06757633045606172,0.2529426210406557,0.08050986793244541,0.14699964458972808,0.397170914593076,0.37142857142857144,-0.12857142857142856,0.12857142857142856,0.5714285714285714,-0.22857142857142865,0.22857142857142865,0.7714285714285715,-0.1785714285714285,0.1785714285714285,0.17857142857142858,0.22857142857142865,2014
5.75,33,0.10362070390442549,0.2960507131541586,0.12917452567237817,0.22241331930255132,0.7325493247674876,0.18181818181818182,-0.3181818181818182,0.3181818181818182,0.48484848484848486,-0.3151515151515152,0.3151515151515152,0.7272727272727273,-0.22272727272727266,0.22272727272727266,0.2853535353535353,0.3181818181818182,2016
