snapshot_id,cycle,state,race_id,snapshot_date,days_out,actual_margin_dem,fundamentals_margin_dem,polling_margin_dem,has_polling,poll_count,pollster_count,effective_poll_count,mean_poll_age_days,production_polling_weight,production_bayesian_margin_dem,production_posterior_sd,margin_movement_dem
2022_NC_8940_20221108_D014,2022,NC,2022_NC,2022-10-25,14,-3.299253218639862,-2.448365066373442,-2.5092557891436424,True,29.0,15.0,9.607236429602027,15.612038998552816,0.6066666666666667,-2.4853054381873636,3.5,-0.0369403718139214
2022_NH_8938_20221108_D014,2022,NH,2022_NH,2022-10-25,14,9.349948447759571,6.416695443190077,5.550115121835631,True,23.0,13.0,9.28376555974932,11.73199302577709,0.6066666666666667,5.890970048235046,3.5,-0.5257253949550309
2022_NV_8937_20221108_D014,2022,NV,2022_NV,2022-10-25,14,0.801857785545522,1.3662346800876135,0.1793030629310841,True,37.0,23.0,16.826418373625668,9.520780774682036,0.6066666666666667,0.6461628323459856,3.5,-0.7200718477416279
2022_NY_8939_20221108_D014,2022,NY,2022_NY,2022-10-25,14,14.075069326686034,22.353669786024497,15.334619683739978,True,11.0,7.0,6.359293456304659,8.947436057753357,0.6066666666666667,18.095446057305224,3.5,-4.258223728719273
2022_OH_8942_20221108_D014,2022,OH,2022_OH,2022-10-25,14,-6.114454849606801,-9.233395295405431,-0.9912640366967542,True,39.0,18.0,19.521860266457963,11.729235301770258,0.6066666666666667,-4.2331689984555005,3.5,5.000226296949931
2022_OK_8943_20221108_D014,2022,OK,2022_OK_REGULAR,2022-10-25,14,-33.40665086133072,-34.96007899381302,-16.51664332966183,True,7.0,5.0,4.935015198906413,21.035990291146387,0.6066666666666667,-23.771061357561297,3.5,11.189017636251723
2022_OK_9482_20221108_D014,2022,OK,2022_OK_SPECIAL,2022-10-25,14,-27.35172468172955,-34.96007899381302,-12.25887581802442,True,7.0,5.0,4.935015198906413,21.035990291146387,0.6066666666666667,-21.188015733834604,3.5,13.772063259978417
2022_OR_8944_20221108_D014,2022,OR,2022_OR,2022-10-25,14,15.408528397166307,15.534313970883458,14.773909033346532,True,3.0,3.0,2.661903844426401,9.85249642762519,0.455,15.188329724304154,3.5,-0.34598424657930416
2022_PA_8945_20221108_D014,2022,PA,2022_PA,2022-10-25,14,5.035095542957677,0.098410518698115,4.202902703215615,True,37.0,26.0,19.855814278394128,14.09132619258406,0.6066666666666667,2.588469110638732,3.5,2.490058591940617
2022_SC_8946_20221108_D014,2022,SC,2022_SC,2022-10-25,14,-25.896486784856165,-12.933217499164188,-17.0,True,1.0,1.0,1.0,48.0,0.182,-13.673371914316306,3.5,-0.7401544151521176
2022_SD_8947_20221108_D014,2022,SD,2022_SD,2022-10-25,14,-45.39410721732374,-27.949559723362995,-28.60467238401615,True,4.0,4.0,1.7998836969051717,8.742797493394997,0.6066666666666667,-28.346994737492576,3.5,-0.3974350141295808
2022_UT_8948_20221108_D014,2022,UT,2022_UT,2022-10-25,14,-10.854978816433643,-22.467210243703263,,False,0.0,,0.0,,0.0,-22.467210243703263,3.5,0.0
2022_VT_8949_20221108_D014,2022,VT,2022_VT,2022-10-25,14,41.90937868850685,35.51837310561312,27.227395637547524,True,2.0,2.0,1.5904542050612065,28.40318957904598,0.3336666666666667,32.75195029043523,3.5,-2.76642281517789
